id,date,state,statename,deaths,hospitalizedCurrently,positive,totalTestResults,,,,,,,State Name,Abbrev
248,20200907,MI,Michigan,6810,0,118403,2962678,,,,,,,,
249,20200907,MN,Minnesota,1912,6743,81225,1197675,,,,,,,,
250,20200907,MO,Missouri,1659,0,94340,1054385,,,,,,,,
251,20200907,MP,Northern Marianas,2,4,58,13542,,,,,,,,
252,20200907,MS,Mississippi,2585,5326,87130,598051,,,,,,,,
253,20200907,MT,Montana,118,498,8316,267125,,,,,,,,
254,20200907,NC,North Carolina,2897,0,177919,2459582,,,,,,,,
255,20200907,ND,North Dakota,125,602,13797,490368,,,,,,,,
256,20200907,NE,Nebraska,404,2068,35886,377461,,,,,,,,
257,20200907,NH,New Hampshire,433,718,7476,222299,,,,,,,,
258,20200907,NJ,New Jersey,15991,22802,194390,3054528,,,,,,,,
259,20200907,NM,New Mexico,803,3186,26107,791836,,,,,,,,
260,20200907,NV,Nevada,1393,0,71967,622642,,,,,,,,
261,20200907,NY,New York,25361,89995,440021,8855109,,,,,,,,
262,20200907,OH,Ohio,4276,13887,131336,2426014,,,,,,,,
263,20200907,OK,Oklahoma,853,5113,64220,924306,,,,,,,,
264,20200907,OR,Oregon,482,2161,28190,588166,,,,,,,,
265,20200907,PA,Pennsylvania,7780,0,139863,1748241,,,,,,,,
266,20200907,PR,Puerto Rico,477,0,35375,341347,,,,,,,,
267,20200907,RI,Rhode Island,1059,2589,22572,581174,,,,,,,,
268,20200907,SC,South Carolina,2907,8171,125607,1009710,,,,,,,,
269,20200907,SD,South Dakota,173,1084,15300,156093,,,,,,,,
270,20200907,TN,Tennessee,1869,7312,165109,2344781,,,,,,,,
271,20200907,TX,Texas,13492,0,640370,5320999,,,,,,,,
272,20200907,UT,Utah,423,3225,55033,691743,,,,,,,,
273,20200907,VA,Virginia,2684,16803,127571,1682098,,,,,,,,
274,20200907,VI,Virgin Islands,17,0,1190,17420,,,,,,,,
275,20200907,VT,Vermont,58,0,1651,145993,,,,,,,,
276,20200907,WA,Washington,1953,6860,77235,1563053,,,,,,,,
277,20200907,WI,Wisconsin,1176,6089,86928,1313721,,,,,,,,
278,20200907,WV,West Virginia,247,0,11575,461765,,,,,,,,
279,20200907,WY,Wyoming,42,219,4032,78344,,,,,,,,
280,20200906,AK,Alaska,42,0,6656,387057,,,,,,,,
281,20200906,AL,Alabama,2276,14914,132314,984308,,,,,,,,
282,20200906,AR,Arkansas,894,4462,65226,765947,,,,,,,,
283,20200906,AS,American Samoa,0,0,0,1514,,,,,,,,
284,20200906,AZ,Arizona,5221,21527,205766,1259018,,,,,,,,
285,20200906,CA,California,13709,0,732144,12047191,,,,,,,,
286,20200906,CO,Colorado,1866,7134,58989,1051084,,,,,,,,
287,20200906,CT,Connecticut,4468,11275,53365,1237658,,,,,,,,
288,20200906,DC,District of Columbia,611,0,14279,311510,,,,,,,,
289,20200906,DE,Delaware,609,0,18043,250783,,,,,,,,
290,20200906,FL,Florida,12001,40487,646431,4784770,,,,,,,,
291,20200906,GA,Georgia,6037,25523,283199,2479568,,,,,,,,
292,20200906,GU,#N/A,16,0,1671,40741,,,,,,,,
293,20200906,HI,Hawaii,84,592,9693,229796,,,,,,,,
294,20200906,IA,Iowa,1165,0,68291,652937,,,,,,,,
295,20200906,ID,Idaho,384,1466,33477,267172,,,,,,,,
296,20200906,IL,Illinois,8390,0,251508,4420300,,,,,,,,
297,20200906,IN,Indiana,3364,11365,99804,1138868,,,,,,,,
298,20200906,KS,Kansas,481,2415,45220,427205,,,,,,,,
299,20200906,KY,Kentucky,996,4713,52774,872129,,,,,,,,
300,20200906,LA,Louisiana,5093,0,153764,1959244,,,,,,,,
301,20200906,MA,Massachusetts,9125,12350,122562,2704512,,,,,,,,
302,20200906,MD,Maryland,3799,14573,112119,1393324,,,,,,,,
303,20200906,ME,Maine,134,424,4682,296854,,,,,,,,
304,20200906,MI,Michigan,6806,0,117191,2919002,,,,,,,,
305,20200906,MN,Minnesota,1909,6719,80587,1188293,,,,,,,,
306,20200906,MO,Missouri,1658,0,93434,1045843,,,,,,,,
307,20200906,MP,Northern Marianas,2,4,58,13542,,,,,,,,
308,20200906,MS,Mississippi,2584,5326,86888,597809,,,,,,,,
309,20200906,MT,Montana,117,486,8264,262026,,,,,,,,
310,20200906,NC,North Carolina,2890,0,176901,2442950,,,,,,,,
311,20200906,ND,North Dakota,125,598,13626,488286,,,,,,,,
312,20200906,NE,Nebraska,404,2065,35805,376828,,,,,,,,
313,20200906,NH,New Hampshire,433,718,7447,220662,,,,,,,,
314,20200906,NJ,New Jersey,15989,22796,194058,3002307,,,,,,,,
315,20200906,NM,New Mexico,800,3171,26048,787811,,,,,,,,
316,20200906,NV,Nevada,1389,0,71610,619482,,,,,,,,
317,20200906,NY,New York,25359,89995,439501,8796244,,,,,,,,
318,20200906,OH,Ohio,4259,13841,130558,2404235,,,,,,,,
319,20200906,OK,Oklahoma,853,5105,63607,923693,,,,,,,,
320,20200906,OR,Oregon,481,2161,28044,585425,,,,,,,,
321,20200906,PA,Pennsylvania,7760,0,139316,1738615,,,,,,,,
322,20200906,PR,Puerto Rico,477,0,34533,340505,,,,,,,,
323,20200906,RI,Rhode Island,1058,2587,22519,577163,,,,,,,,
324,20200906,SC,South Carolina,2887,8144,124952,1001225,,,,,,,,
325,20200906,SD,South Dakota,173,1079,15109,155101,,,,,,,,
326,20200906,TN,Tennessee,1865,7296,164126,2331199,,,,,,,,
327,20200906,TX,Texas,13472,0,638310,5282579,,,,,,,,
328,20200906,UT,Utah,422,3207,54660,688735,,,,,,,,
329,20200906,VA,Virginia,2678,16766,126926,1670084,,,,,,,,
330,20200906,VI,Virgin Islands,17,0,1181,17325,,,,,,,,
331,20200906,VT,Vermont,58,0,1648,144063,,,,,,,,
332,20200906,WA,Washington,1953,6842,76836,1550477,,,,,,,,
333,20200906,WI,Wisconsin,1176,6070,86353,1308247,,,,,,,,
334,20200906,WV,West Virginia,246,0,11412,458378,,,,,,,,
335,20200906,WY,Wyoming,42,219,4032,78344,,,,,,,,
