id,date,state,statename,deaths,hospitalizedCurrently,positive,totalTestResults
261,20200907,NY,,25361,89995,440021,8855109
262,20200907,OH,,4276,13887,131336,2426014
263,20200907,OK,,853,5113,64220,924306
264,20200907,OR,,482,2161,28190,588166
265,20200907,PA,,7780,0,139863,1748241
266,20200907,PR,,477,0,35375,341347
267,20200907,RI,,1059,2589,22572,581174
268,20200907,SC,,2907,8171,125607,1009710
269,20200907,SD,,173,1084,15300,156093
270,20200907,TN,,1869,7312,165109,2344781
271,20200907,TX,,13492,0,640370,5320999
272,20200907,UT,,423,3225,55033,691743
273,20200907,VA,,2684,16803,127571,1682098
274,20200907,VI,,17,0,1190,17420
275,20200907,VT,,58,0,1651,145993
276,20200907,WA,,1953,6860,77235,1563053
277,20200907,WI,,1176,6089,86928,1313721
278,20200907,WV,,247,0,11575,461765
279,20200907,WY,,42,219,4032,78344
280,20200906,AK,,42,0,6656,387057
281,20200906,AL,,2276,14914,132314,984308
282,20200906,AR,,894,4462,65226,765947
283,20200906,AS,,0,0,0,1514
284,20200906,AZ,,5221,21527,205766,1259018
285,20200906,CA,,13709,0,732144,12047191
286,20200906,CO,,1866,7134,58989,1051084
287,20200906,CT,,4468,11275,53365,1237658
288,20200906,DC,,611,0,14279,311510
289,20200906,DE,,609,0,18043,250783
290,20200906,FL,,12001,40487,646431,4784770
291,20200906,GA,,6037,25523,283199,2479568
292,20200906,GU,,16,0,1671,40741
293,20200906,HI,,84,592,9693,229796
294,20200906,IA,,1165,0,68291,652937
295,20200906,ID,,384,1466,33477,267172
296,20200906,IL,,8390,0,251508,4420300
297,20200906,IN,,3364,11365,99804,1138868
298,20200906,KS,,481,2415,45220,427205
299,20200906,KY,,996,4713,52774,872129
300,20200906,LA,,5093,0,153764,1959244
301,20200906,MA,,9125,12350,122562,2704512
302,20200906,MD,,3799,14573,112119,1393324
303,20200906,ME,,134,424,4682,296854
304,20200906,MI,,6806,0,117191,2919002
305,20200906,MN,,1909,6719,80587,1188293
306,20200906,MO,,1658,0,93434,1045843
307,20200906,MP,,2,4,58,13542
308,20200906,MS,,2584,5326,86888,597809
309,20200906,MT,,117,486,8264,262026
310,20200906,NC,,2890,0,176901,2442950
311,20200906,ND,,125,598,13626,488286
312,20200906,NE,,404,2065,35805,376828
313,20200906,NH,,433,718,7447,220662
314,20200906,NJ,,15989,22796,194058,3002307
315,20200906,NM,,800,3171,26048,787811
316,20200906,NV,,1389,0,71610,619482
317,20200906,NY,,25359,89995,439501,8796244
318,20200906,OH,,4259,13841,130558,2404235
319,20200906,OK,,853,5105,63607,923693
320,20200906,OR,,481,2161,28044,585425
321,20200906,PA,,7760,0,139316,1738615
322,20200906,PR,,477,0,34533,340505
323,20200906,RI,,1058,2587,22519,577163
324,20200906,SC,,2887,8144,124952,1001225
325,20200906,SD,,173,1079,15109,155101
326,20200906,TN,,1865,7296,164126,2331199
327,20200906,TX,,13472,0,638310,5282579
328,20200906,UT,,422,3207,54660,688735
329,20200906,VA,,2678,16766,126926,1670084
330,20200906,VI,,17,0,1181,17325
331,20200906,VT,,58,0,1648,144063
332,20200906,WA,,1953,6842,76836,1550477
333,20200906,WI,,1176,6070,86353,1308247
334,20200906,WV,,246,0,11412,458378
335,20200906,WY,,42,219,4032,78344
336,20200905,AK,,42,0,6567,385002
337,20200905,AL,,2275,14914,131803,977973
338,20200905,AR,,882,4456,65226,765947
339,20200905,AS,,0,0,0,1514
340,20200905,AZ,,5207,21520,205516,1252775
341,20200905,CA,,13643,0,727239,11916323
342,20200905,CO,,1866,7125,58655,1040752
343,20200905,CT,,4468,11275,53365,1237658
344,20200905,DC,,611,0,14238,307864
345,20200905,DE,,608,0,17892,248632
346,20200905,FL,,11963,40373,643867,4763807
347,20200905,GA,,5977,25501,281548,2460729
348,20200905,GU,,15,0,1671,40741
349,20200905,HI,,81,583,9473,221391
350,20200905,IA,,1161,0,67642,648511
351,20200905,ID,,382,1461,33196,265645
352,20200905,IL,,8385,0,250105,4373804
353,20200905,IN,,3362,11318,98961,1129078
354,20200905,KS,,481,2415,45220,427205
355,20200905,KY,,993,4713,52464,871819
356,20200905,LA,,5035,0,152369,1932644
357,20200905,MA,,9116,12347,122196,2660462
358,20200905,MD,,3796,14516,111607,1384455
